#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
0,6784,85.752,9.41091954,-0.069734413,0,39,23516,33,5.4,92.6,1876327.80,0,0
0,6668,75.07,1.096571145,-0.01969495,0,25,17855,65,14.9,82.4,165455.10,0,0
0,6495,0.68,2.013970817,-0.026852685,0,4,27776,115,-8.6,87.2,385834.80,0,0
0,6369,0,2.034080151,0.055337263,0,4,20569,32,2.4,95.9,385834.80,0,0
0,6328,114.589,1.458884565,-0.280634433,0,39,15531,41,6.3,96.5,1876327.80,0,0
0,6018,0,7.562897078,0.022153529,0,4,11726,20,-9.6,94.8,385834.80,0,0
0,5861,0,3.565763384,-0.169872288,0,4,15402,22,-4.9,84.8,385834.80,0,0
0,5856,117.43,6.188043478,-0.079100615,0,39,26497,588,4.1,92.5,1876327.80,0,0
0,5812,15.559,39.46,0.087851498,0,4,37375,99,25.9,84.9,385834.80,0,0
0,5775,68.192,4.942731278,-0.084977981,0,39,27427,27,-1.6,89.9,1876327.80,0,0
0,5734,86.504,6.29787234,-0.12954651,0,39,24604,54,-0.4,79.6,1876327.80,0,0
0,5729,83.593,1.042258652,-0.009177489,0,25,20528,180,10.7,93.9,165455.10,0,0
0,5630,0,2.2257564,0.049570148,3,4,17594,65,0.8,92.7,385834.80,0,0
0,5587,68.186,6.165919283,-0.070160609,0,39,20169,66,14.6,89,1876327.80,0,0
0,5478,71.207,5.131048387,-0.210363016,0,39,22020,61,24.2,88.2,1876327.80,0,0
0,5465,96.135,3.541723666,-0.14582646,0,39,27477,152,-9.6,95,1876327.80,0,0
0,5420,117.382,5.838316722,-0.106289202,0,39,58004,63,-8,90.9,1876327.80,0,0
0,5332,106.357,5.636956522,-0.076073401,0,39,22767,109,-10.1,80.3,1876327.80,0,0
0,5265,62.055,5.393333333,-0.198877703,0,39,20977,63,9.9,79,1876327.80,0,0
0,5251,33.614,20.35019455,-0.000191168,0,39,22966,19,-5.9,95.7,1876327.80,0,0
0,5213,117.368,5.867759563,0.118774745,0,39,25524,2768,1.2,74.5,1876327.80,0,0
0,5091,98.573,5.315846995,-0.100924214,0,39,22917,6,-3.7,90.9,1876327.80,0,0
0,5061,74.96188366,0.977004831,-0.022428461,2,12,20782,56,14.6,87,191965.20,0,0
0,4864,50.903,4.137323944,-0.113207547,0,39,17330,40,-5,87.2,1876327.80,0,0
0,4850,1.885,9.236162362,0.128494139,0,4,32562,59,25.7,96,385834.80,0,0
